title,release_year,decade,primary_genre,budget_tier,budget,revenue,roi,imdb_rating,tomatometer_rating,audience_rating
Home Alone,1990,1990s,Comedy,High,18000000.0,476684675.0,2548.2481944444444,7.8,65.0,80.0
Ghost,1990,1990s,Fantasy,High,22000000.0,505000000.0,2195.454545454545,7.1,74.0,80.0
Aladdin,1992,1990s,Animation,High,28000000.0,504050219.0,1700.1793535714285,8.0,57.0,94.0
Terminator 2: Judgment Day,1991,1990s,Action,Blockbuster,100000000.0,520000000.0,420.0,8.6,93.0,94.0
Dances with Wolves,1990,1990s,Adventure,High,22000000.0,424208848.0,1828.2220363636363,8.0,83.0,87.0
Batman,1989,1980s,Fantasy,High,35000000.0,411348924.0,1075.28264,7.5,,
The Silence of the Lambs,1991,1990s,Crime,High,19000000.0,272742922.0,1335.4890631578946,8.6,96.0,95.0
Snow White and the Seven Dwarfs,1937,1930s,Fantasy,Low,1488423.0,184925486.0,12324.256142239135,7.6,98.0,78.0
Beauty and the Beast,1991,1990s,Romance,High,25000000.0,377350553.0,1409.402212,8.0,94.0,92.0
Pinocchio,1940,1940s,Animation,Low,2600000.0,84300000.0,3142.3076923076924,7.5,0.0,32.0
Pretty Woman,1990,1990s,Romance,Mid,14000000.0,463000000.0,3207.142857142857,7.1,63.0,68.0
The Wild Bunch,1969,1960s,Adventure,Mid,6244087.0,638641.0,-89.77206755767496,7.9,90.0,91.0
Fargo,1996,1990s,Crime,Mid,7000000.0,60611975.0,765.8853571428572,8.1,94.0,93.0
Hellraiser: Bloodline,1996,1990s,Horror,Low,4000000.0,16675000.0,316.875,5.1,,
The Aristocats,1970,1970s,Animation,Low,4000000.0,55675257.0,1291.881425,7.1,64.0,70.0
Primal Fear,1996,1990s,Crime,High,30000000.0,102616183.0,242.0539433333333,7.7,76.0,89.0
Girl 6,1996,1990s,Comedy,Mid,12000000.0,4939939.0,-58.833841666666665,5.4,,
Courage Under Fire,1996,1990s,Drama,Blockbuster,46000000.0,100860818.0,119.26264782608696,6.6,85.0,66.0
Mission: Impossible,1996,1990s,Adventure,Blockbuster,80000000.0,457696359.0,472.12044875,7.2,64.0,71.0
DragonHeart,1996,1990s,Fantasy,Blockbuster,57000000.0,115267375.0,102.22346491228068,6.4,50.0,60.0
James and the Giant Peach,1996,1990s,Adventure,High,38000000.0,28921264.0,-23.89141052631579,6.7,91.0,66.0
Faithful,1996,1990s,Comedy,Mid,13000000.0,9789900.0,-24.693076923076923,5.7,7.0,49.0
Space Jam,1996,1990s,Animation,Blockbuster,80000000.0,250200000.0,212.75,6.5,43.0,63.0
Barbarella,1968,1960s,Science Fiction,Mid,9000000.0,2500000.0,-72.22222222222221,5.9,72.0,56.0
Mrs. Winterbourne,1996,1990s,Comedy,High,25000000.0,10070000.0,-59.72,6.3,10.0,63.0
The Quest,1996,1990s,Action,High,30000000.0,57400547.0,91.33515666666666,5.6,14.0,36.0
Oliver & Company,1988,1980s,Animation,High,31000000.0,74151346.0,139.19789032258066,6.6,50.0,62.0
Flipper,1996,1990s,Adventure,High,25530000.0,20080020.0,-21.34735605170388,5.4,40.0,49.0
The Horseman on the Roof,1995,1990s,War,High,35000000.0,15000000.0,-57.14285714285714,7.0,,
The Craft,1996,1990s,Drama,Mid,15000000.0,24769466.0,65.12977333333333,6.5,56.0,65.0
Original Gangstas,1996,1990s,Action,Low,4800000.0,3014000.0,-37.20833333333333,5.7,53.0,46.0
The Rock,1996,1990s,Action,Blockbuster,75000000.0,335062621.0,346.7501613333333,7.4,66.0,85.0
Twister,1996,1990s,Action,Blockbuster,92000000.0,494471524.0,437.4690478260869,6.6,58.0,58.0
The Arrival,1996,1990s,Action,High,25000000.0,14048372.0,-43.806512,6.2,65.0,44.0
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,1960s,Drama,Low,1800000.0,9440272.0,424.45955555555554,8.3,,
The Phantom,1996,1990s,Adventure,Blockbuster,45000000.0,17300889.0,-61.55358,5.1,43.0,31.0
Striptease,1996,1990s,Drama,Blockbuster,50000000.0,113309743.0,126.619486,4.6,11.0,24.0
Jack,1996,1990s,Comedy,Blockbuster,45000000.0,58620973.0,30.268828888888887,5.8,18.0,49.0
Trainspotting,1996,1990s,Drama,Low,4000000.0,16491080.0,312.277,8.1,91.0,93.0
Independence Day,1996,1990s,Action,Blockbuster,75000000.0,816969268.0,989.2923573333331,7.0,67.0,75.0
The Fan,1996,1990s,Drama,Blockbuster,55000000.0,18626419.0,-66.13378363636365,5.9,38.0,32.0
The Hunchback of Notre Dame,1996,1990s,Drama,Blockbuster,100000000.0,100138851.0,0.138851,7.0,92.0,76.0
The Cable Guy,1996,1990s,Comedy,Blockbuster,47000000.0,102825796.0,118.77828936170214,6.1,54.0,51.0
Kingpin,1996,1990s,Comedy,High,27000000.0,25023434.0,-7.320614814814815,6.9,50.0,69.0
Eraser,1996,1990s,Action,Blockbuster,100000000.0,242295562.0,142.295562,6.2,38.0,39.0
The Nutty Professor,1996,1990s,Fantasy,Blockbuster,54000000.0,128769345.0,138.46175,5.7,85.0,67.0
